"ID","Abteilung","Jahr","Aktenzeichen","Status","Titel"
"11-2013-079","11","2013","PE 6 - 079/13","A","Zur Richtlinie 2006/40/EG über Emissionen aus Klimaanlagen in Kraftfahrzeugen - Sanktionen für richtlinienwidrig produzierte und zugelassene der Genehmigungsbehörde, nachträglichen Erweiterung einer Typengenehmigung Fahrzeuge, Rechtsmittel gegen Entscheidungen"
"11-2013-078","11","2013","PE 6 - 078/13","A","Der Kommissionsvorschlag für eine Konzessionsrichtlinie und Gesundheitsdienstleistungen"
"11-2013-076","11","2013","PE 6 - 076/13","A","Transatlantic Trade and Investment Partnership (TTIP) und Investor-Staat-Streitbeilegungsmechanismen"
"11-2013-074","11","2013","PE 6 - 074/13","A","Fragen zur Anwendung der Safe Harbor Grundsätze zwischen der EU und den USA"
"11-2013-072","11","2013","PE 6 - 072/13","A","Das Mandat der Europäischen Zentralbank im Rahmen der Troika"
"11-2013-067","11","2013","PE 6 - 067/13","A","Zentrale europäische Abwicklungsbehörde und gemeinsamer europäischer Abwicklungsfonds im Rahmen der Bankenunion - Zur Frage der Notwendigkeit einer Vertragsänderung"
"11-2013-065","11","2013","PE 6 - 065/13","A","Fragen zum Bewertungsverfahren von Immobilien - Sondervermögen im Rahmen von alternativen Investmentfonds"
"11-2013-064","11","2013","PE 6 - 064/13","A","Vollzeit-Präsident für die Eurogruppe - Vereinbarkeit mit den EU-Verträgen und Wählbarkeit aus den Reihen der nationalen Finanzminister der Euro-Staaten?"
"11-2013-063","11","2013","PE 6 - 063/13","A","Fragen zur geplanten Europäischen Waldkonvention"
"11-2013-061","11","2013","PE 6 - 061/13","A","Rebenzüchtung in Deutschland und EU-Wettbewerbsrecht"
"11-2013-056","11","2013","PE 6 - 056/13","A","Immunitäten, Sonderrechte und Gehälter der Direktoriumsmitglieder und Angestellten der Europäischen Zentralbank"
"11-2013-051","11","2013","PE 6 - 051/13","A","EU-Rechtliche Vorgaben für die etwaige Aufnahme von Beratungsleistungen in den verbindlichen Teil der Honorarordnung für Architekten und Ingenieure"
"11-2013-049","11","2013","PE 6 - 049/13","A","Handelsübereinkommen EU - Kolumbien/Peru"
"11-2013-047","11","2013","PE 6 - 047/13","A","Freihandelsabkommen zwischen der EU einerseits und Kolumbien und Peru andererseits"
"11-2013-046","11","2013","PE 6 - 046/13","A","Gesetzes- und Verfassungsänderungen in Ungarn seit 2010 aus Sicht des Rechts der Europäischen Union"
"11-2013-044","11","2013","PE 6 - 044/13","A","Zypern-Hilfe - Anwendbare Regeln und Verfahren"
"11-2013-040","11","2013","PE 6 - 040/13","A","Exportverbot für Arzneimittel durch Griechenland"
"11-2013-039","11","2013","PE 6 - 039/13","A","Unionsrechtliche Bewertung einer möglichen Beteiligung des Freistaates Bayern an dem GBW AG-Veräußerungsverfahren der BayernLB"
"11-2013-038","11","2013","PE 6 - 038/13","A","Fragen zu den Vereinbarungen über einen finanziellen Beistand für die Republik Zypern"
"11-2013-033","11","2013","PE 6 - 033/13","A","Die Revision der Tabakproduktrichtline - Kompetenzgrundlage Vereinbarkeit mit dem Grundgesetz und europäischen Grundrechten"
"11-2013-029","11","2013","PE 6 - 029/13","A","Die Netzentgeltbefreiung nach StromNEV und das EEG im Lichte des EU-Beihilfenrechts"
"11-2013-024","11","2013","PE 6 - 024/13","A","Modifikation der Übergangsregelungen betreffend die Anwendung der Arbeitnehmerfreizügigkeit auf bulgarische und rumänische Staatsangehörige"
"11-2013-018","11","2013","PE 6 - 018/13","A","Grundlegende Rechtsprechung des EuGH im Bereich der Wirtschafts- und Sozialpolitik - Auswahl"
"11-2013-016","11","2013","PE 6 - 016/13","A","Zur Vereinbarkeit des Vorschlags der Kommission zur Änderung der Richtlinie zur Angleichung der Rechts- und Verwaltungsvorschriften der Mitgliedstaaten über die Herstellung, die Aufmachung und den Verkauf von Tabakerzeugnissen (Tabakproduktionsrichtlinie) mit dem Subsidiaritätsprinzip"
"11-2013-015","11","2013","PE 6 - 015/13","A","Möglichkeiten zur Einführung einer Finanztransaktionssteuer im Falle des Scheiterns der Verhandlungen bei der Durchführung der Verstärkten Zusammenarbeit"
"11-2013-011","11","2013","PE 6 - 011/13","A","EU-Rede des britischen Premierministers David Cameron und Umsetzungsoptionen der darin geäußerten Vorstellungen für eine Reform der EU"
"11-2013-009","11","2013","PE 6 - 009/13","A","Unionsrechtliche Zulässigkeit eines Werbeverbots für Arzneimittelvertreter in Arztpraxen"
"11-2013-005","11","2013","PE 6 - 005/13","AI","Einheitlicher Europäischer Bankenaufsichtsmechanismus (EAM) - Von den Vorschlägen der Kornmission zur politischen Einigung im Rat"
"11-2013-004","11","2013","PE 6 - 004/13","A","Zur Vereinbarkeit des Vorschlags der Kornmission zur Neufassung der Tabakproduktrichtlinie mit dem Subsidiaritätsprinzip und dem Grundsatz der Verhältnismäßigkeit"
"11-2013-002","11","2013","PE 6 - 002/13","A","Kennzeichnung von Getränkeverpackungen mit „Einweg“ oder „Mehrweg“"
"11-2013-001","11","2013","PE 6 - 001/13","A","EU-Bankenaufsicht - Zugriff auf Sparkassen und Funktionsweise der Aufsicht"
"11-2012-178","11","2012","WD 11 - 178/12","A","Zur Vereinbarkeit des Vorschlags der Kommission zur Neufassung der Tabakproduktrichtlinie mit dem Subsidiaritätsprinzip"
"11-2012-177","11","2012","WD 11 - 177/12","A","Europäische Bankenaufsicht - Rechtsgrundlage und Trennung von Geldpolitik und Aufsicht"
"11-2012-176","11","2012","WD 11 - 176/12","A","Einsatz von Werkvertragsarbeitnehmern in der Lebensmittelbranche - Vereinbarkeit mit dem europäischen Lebensmittel- und Hygienerecht"
"11-2012-174","11","2012","WD 11 - 174/12","A","Das Urteil des EuGH vom 27. November 2012, RS. C-370/12 (Pringle/Irland u.a.)"
"11-2012-171","11","2012","WD 11 - 171/12","A","EU-rechtliche Zulässigkeit der Pflichtmitgliedschaften in Handwerks- sowie Industrie- und Handelskammern für EU-ausländische Dienstleister"
"11-2012-170","11","2012","WD 11 - 170/12","A","Zur Richtlinie 2006/40/EG über Emissionen aus Klimaanlagen in Kraftfahrzeugen - Rechtsfragen im Zusammenhang mit der Ankündigung der Kommission, keine Vertragsverletzungsverfahren wegen der Nichteinhaltung der Anforderungen der Richtlinie einzuleiten"
"11-2012-167","11","2012","WD 11 - 167/12","A","Wirkungen des Assoziierungsabkommens zwischen der Europäischen Union und Staaten Zentralamerikas sowie des Handelsübereinkommens zwischen der Europäischen Union einerseits und Kolumbien und Peru andererseits auf die Regulierungsvorhaben der EU im Finanzmarktsektor"
"11-2012-166","11","2012","WD 11 - 166/12","A","Vereinbarkeit der Einführung eines fahrscheinlosen ÖPNV mit dem Europarecht"
"11-2012-165","11","2012","WD 11 - 165/12","A","Zur Bankenunion einschließlich einer europäischen Bankenaufsicht durch die Europäische Zentralbank (EZB)"
"11-2012-163","11","2012","WD 11 - 163/12","A","Austritt aus der Europäischen Atomgemeinschaft und rechtliche Konsequenzen für das Rahmenprogramm Forschung und Innovation „Horizon 2020“"
"11-2012-159","11","2012","WD 11 - 159/12","A","Vorsorgekonto als Basisprodukt der staatlich geförderten privaten Altersvorsorge Gesetzgebungskompetenz des Bundes und Vereinbarkeit mit dem europäischen Wettbewerbsrecht"
"11-2012-158","11","2012","WD 11 - 158/12","A","Fragen zur Anwendung der Grundfre}heiten und EU-Regelungen zur Unternehmensbesteuerung und der Besteuerung von Zinserträgen im EWR und der Schweiz"
"11-2012-156","11","2012","WD 11 - 156/12","A","Klagemöglichkeiten der deutschen Bundesbank gegen die EZB vor dem Europäischen Gerichtshof"
"11-2012-154","11","2012","WD 11 - 154/12","A","Auswirkungen der 8. GWB-Novelle auf die Einordnung gesetzlicher Krankenkassen als Unternehmen im Sinne der Art. 101 ff. AEUV"
"11-2012-153","11","2012","WD 11 - 153/12","A","Die unionsrechtliche Zulässigkeit des unbegrenzten Ankaufs von Staatsanleihen durch die Europäische Zentralbank"
"11-2012-149","11","2012","WD 11 - 149/12","A","Europarechtliche Bedenken gegen eine Bankenaufsicht durch die Europäische Zentralbank (EZB)? Zum Vorschlag der Kommission für eine Verordnung des Rates zur Übertragung besonderer Aufgaben im Zusammenhang mit der Aufsicht über Kreditinstitute auf die EZB vom 12. September 2012"
"11-2012-147","11","2012","WD 11 - 147/12","A","Beihilfenrelevanz einer Öffnungsklausel in dem Gesetz über die Bundesanstalt für Immobilienaufgaben"
"11-2012-144","11","2012","WD 11 - 144/12","A","Fragen zu einem etwaigen Ausscheiden Griechenlands aus der Euro-Zone - Rechtliche Rahmenbedingungen für ein Ausscheiden aus der Eurozone und/oder aus der EU"
"11-2012-143","11","2012","WD 11 - 143/12","A","Klagemöglichkeiten gegen Maßnahmen der Europäischen Zentralbank (EZB)"
"11-2012-142","11","2012","WD 11 - 142/12","A","Zu den europarechtlichen Vorgaben für eine Präklusion von Einwänden von Umweltschutzverbänden zu Belangen des Umwelt- und Naturschutzes in gerichtlichen Verfahren"
"11-2012-136","11","2012","WD 11 - 136/12","A","Rechtliche Möglichkeiten der Beendigung des Vertrages zur Einrichtung des Europäischen Stabilitätsmechanismus (ESM)"
"11-2012-130","11","2012","WD 11 - 130/12","A","Einzelfragen zum ESM"
"11-2012-127","11","2012","WD 11 - 127/12","A","Einzelfragen zur Spanienhilfe"
