Jahr,Zeichen,Kategorie,Titel
"2008","WD1-041/08","A","Fragen zur Falun Gong-Bewegung"
"2011","WD1-041/11","A","Zwangsarbeit und Entschädigung"
"2006","WD1-042/06","A","Pressefreiheit- Wesensmerkmal eines freiheitlichen Staates"
"2011","WD1-042/11","A","War die Schill-Partei eine rechtspopulistische Partei?"
"2012","WD1-042/12","A","Parlamentarische Höhepunkte 1949-1989"
"2006","WD1-043/06","A","Politische Dimension der Fußball-Weltmeisterschaft 2006 in Deutschland"
"2009","WD1-043/09","A","Entstehungsgeschichte BGB und Einfluss katholischer Organisationen"
"2009","WD1-044/09","A","Rolle/Tätigkeit  Walter Dürrfelds für Hydrierwerke Pölitz AG im Nürnberger Nachfolgeprozess wegen IG Farben"
"2012","WD1-044/12","A","Zwangsgermanisierung während der NS-Herrschaft: Zusammenfassung des Forschungsstandes mit besonderem Blick auf die Kinderraubpolitik der Nationalsozialisten im Zweiten Weltkrieg"
"2006","WD1-045/06","A","Rechtsstaatlichkeit in Weißrussland"
"2011","WD1-045/11","A","Deutsch-polnische Kulturbeziehungen im 18. und 19. Jahrhundert"
"2012","WD1-045/12","AI","Dossier: Die Ratifikation der Ostverträge am 17. Mai 1972"
"2010","WD1-048/10","A","Aufklärung der Missbrauchsvorgänge in der katholischen Kirche in Irland"
"2013","WD1-048/13","AI","Realismus mit Vision: Die Politik John F. Kennedys im Spiegel seiner Ansprachen in Deutschland, 23.-26. Juni 1963"
"2008","WD1-049/08","A","Die ""Turnhallenkonferenz"" in Namibia 1975-1977"
"2013","WD1-049/13","A","Das deutsch-brasilianische Atomabkommen von 1975 aus heutiger Sicht"
"2008","WD1-050/08","A","Politikverdrossenheit in Deutschland"
"2010","WD1-051/10","A","Der Schuman-Plan"
"2013","WD1-051/13","A","Die Europäische Union - Hüterin der Werte der Französischen Revolution"
"2007","WD1-052/07","A","Entwicklung der Altersstruktur in Deutschland"
"2008","WD1-052/08","A","Bedeutung der Vereine, Vereinskooperation (Netzwerke) für die demokratische Grundordnung"
"2010","WD1-052/10","A","Das Reichskonkordat von 1933"
"2012","WD1-052/12","A","Gesetzliche Änderungen zur Patientenverfügung in Europa nach dem Jahr 2008"
